         구분               위치(구역명) 운동기구기종명  운동기구수량                               관리번호        관리기관
 한강공원(이촌지구)                자연학습장      평행봉       1                     이촌-7(자연학습장)-7      한강사업본부 
 한강공원(이촌지구)              한강철교 상류      평행봉       1                  이촌-8(한강철교 상류)-12      한강사업본부 
 한강공원(이촌지구)                 안내센터      평행봉       1                     이촌-13(안내센터)-1      한강사업본부 
한강공원(여의도지구)                 서강대교      평행봉       1                     여의도1(서강대교)-24      한강사업본부 
한강공원(여의도지구)                  파천교      평행봉       1                      여의도2(파천교)-10      한강사업본부 
 한강공원(양화지구)              안양천 합수부      평행봉       1                    양화1(안양천 합수부)-9      한강사업본부 
 한강공원(양화지구)                 양화대교      평행봉       1                      양화2(양화대교)-23      한강사업본부 
 한강공원(망원지구)                중부발전소      평행봉       1                     망원4(중부발전소)-11      한강사업본부 
 한강공원(망원지구)                상수나들목      평행봉       1                      망원5(상수나들목)-6      한강사업본부 
 한강공원(망원지구)                 마포대교      평행봉       1                       망원8(마포대교)-5      한강사업본부 
    잠실종합운동장              버스주차장 옆      평행봉       1                 잠실종합운동장-제2풋살장 옆-3   체육시설관리사업소 
    잠실종합운동장              버스주차장 옆      평행봉       1                 잠실종합운동장-제2풋살장 옆-4   체육시설관리사업소 
      서울대공원              관리사무소 앞      평행봉       1                  서울대공원-1(관리사무소)-8       서울대공원 
