"행정구역","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"강원특별자치도 홍천군 홍천읍(5172025000)","17,172","17,172","1,158","1,620","2,089","2,050","2,393","3,009","2,945","1,255","598","55","0","16,722","16,722","1,110","1,537","1,547","1,679","2,343","2,835","2,894","1,527","1,041","203","6"
"강원특별자치도 홍천군 화촌면(5172031000)","2,261","2,261","28","67","172","131","174","389","698","423","162","16","1","1,954","1,954","31","47","82","58","104","273","648","364","261","81","5"
"강원특별자치도 홍천군 두촌면(5172032000)","1,210","1,210","16","50","62","58","78","203","401","218","110","13","1","1,189","1,189","9","41","47","52","44","179","377","211","189","38","2"
"강원특별자치도 홍천군 내촌면(5172033000)","1,267","1,267","20","42","55","51","98","212","451","224","104","10","0","1,183","1,183","19","44","37","42","47","183","393","204","183","30","1"
"강원특별자치도 홍천군 서석면(5172034000)","1,873","1,873","60","77","135","114","146","319","606","292","117","6","1","1,770","1,770","50","80","82","81","142","307","516","248","218","42","4"
"강원특별자치도 홍천군 영귀미면(5172035200)","2,111","2,111","54","98","101","115","163","385","685","355","142","12","1","1,972","1,972","41","75","56","84","136","316","616","343","245","58","2"
"강원특별자치도 홍천군 남면(5172036000)","3,011","3,011","132","126","388","305","251","442","775","406","170","15","1","2,657","2,657","143","189","161","207","188","369","692","322","322","64","0"
"강원특별자치도 홍천군 서면(5172037000)","1,966","1,966","39","49","112","128","190","340","659","294","141","13","1","1,781","1,781","41","48","85","79","136","284","535","304","220","48","1"
"강원특별자치도 홍천군 북방면(5172038000)","2,161","2,161","51","92","133","118","200","394","658","337","167","11","0","1,945","1,945","54","95","92","90","143","319","547","264","287","52","2"
"강원특별자치도 홍천군 내면(5172039000)","1,593","1,593","44","63","69","69","134","309","544","255","98","7","1","1,408","1,408","46","68","48","66","101","262","437","214","139","27","0"
"강원특별자치도 횡성군 (5173000000)","23,831","23,831","959","1,805","1,743","1,630","2,494","4,267","6,202","3,181","1,433","115","2","22,524","22,524","863","1,592","1,347","1,357","2,064","3,786","5,638","3,064","2,313","482","18"
"강원특별자치도 횡성군 횡성읍(5173025000)","10,433","10,433","653","1,007","1,068","963","1,418","1,939","1,950","916","475","43","1","10,280","10,280","605","921","893","887","1,304","1,726","1,898","1,068","803","168","7"
"강원특별자치도 횡성군 우천면(5173031000)","2,311","2,311","54","104","174","132","197","410","695","370","160","15","0","2,082","2,082","48","89","95","102","139","364","612","323","255","53","2"
"강원특별자치도 횡성군 안흥면(5173032000)","1,638","1,638","35","305","56","60","79","228","511","252","106","6","0","1,529","1,529","21","272","47","51","73","198","441","216","169","41","0"
"강원특별자치도 횡성군 둔내면(5173033000)","3,138","3,138","106","202","189","207","338","601","854","441","192","7","1","2,839","2,839","93","157","124","125","249","547","768","423","292","56","5"
"강원특별자치도 횡성군 갑천면(5173034000)","1,293","1,293","16","34","50","35","99","237","460","244","110","8","0","1,190","1,190","17","33","55","42","55","201","407","193","156","30","1"
"강원특별자치도 횡성군 청일면(5173035000)","1,218","1,218","13","32","43","55","80","219","441","236","93","6","0","1,164","1,164","8","28","26","33","58","191","386","207","185","41","1"
"강원특별자치도 횡성군 공근면(5173036000)","1,776","1,776","35","45","84","83","127","320","598","325","142","17","0","1,640","1,640","21","52","60","58","92","250","545","282","220","60","0"
"강원특별자치도 횡성군 서원면(5173037000)","1,102","1,102","33","36","46","57","101","148","390","203","84","4","0","954","954","31","19","32","38","49","157","308","170","128","22","0"
"강원특별자치도 횡성군 강림면(5173038000)","922","922","14","40","33","38","55","165","303","194","71","9","0","846","846","19","21","15","21","45","152","273","182","105","11","2"
"강원특별자치도 영월군 (5175000000)","19,219","19,219","743","1,462","1,495","1,276","2,108","3,694","4,798","2,437","1,104","98","4","17,941","17,941","657","1,106","1,173","1,077","1,839","3,048","4,135","2,601","1,954","344","7"
"강원특별자치도 영월군 영월읍(5175025000)","10,303","10,303","567","1,095","1,071","881","1,371","1,931","1,951","953","447","36","0","9,901","9,901","499","814","846","797","1,339","1,710","1,790","1,141","826","136","3"
"강원특별자치도 영월군 상동읍(5175025300)","539","539","8","30","30","16","50","109","163","80","51","2","0","473","473","4","11","20","15","30","69","126","102","78","18","0"
"강원특별자치도 영월군 산솔면(5175031200)","754","754","23","20","31","26","52","158","256","119","63","6","0","643","643","18","21","18","9","41","103","188","119","110","16","0"
"강원특별자치도 영월군 김삿갓면(5175032500)","937","937","19","42","39","38","69","200","314","150","57","9","0","841","841","16","33","30","24","65","156","258","132","100","27","0"
