"행정구역","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"서울특별시  (1100000000)","4,532,115","4,532,115","257,434","373,543","636,314","714,841","696,275","735,836","626,231","338,168","140,478","12,647","348","4,846,154","4,846,154","244,649","357,633","709,084","714,198","710,914","761,215","697,000","409,623","206,245","34,438","1,155"
"서울특별시 종로구 (1111000000)","67,138","67,138","2,901","4,730","10,147","9,675","9,183","11,682","10,502","5,294","2,679","334","11","72,294","72,294","2,816","4,996","11,411","9,758","9,765","12,033","10,450","6,315","4,029","691","30"
"서울특별시 종로구 청운효자동(1111051500)","5,117","5,117","294","540","667","673","805","860","658","368","222","28","2","6,123","6,123","269","529","701","825","1,043","1,048","776","544","323","61","4"
"서울특별시 종로구 사직동(1111053000)","3,945","3,945","225","260","424","626","604","675","586","294","207","41","3","5,038","5,038","225","378","613","805","800","781","675","407","298","53","3"
"서울특별시 종로구 삼청동(1111054000)","1,055","1,055","37","92","117","131","152","158","176","118","61","12","1","1,169","1,169","44","68","118","155","155","181","203","136","90","18","1"
"서울특별시 종로구 부암동(1111055000)","4,270","4,270","191","442","530","557","626","732","634","350","188","20","0","4,795","4,795","191","362","527","599","762","879","743","405","259","64","4"
"서울특별시 종로구 평창동(1111056000)","8,005","8,005","525","716","967","978","1,106","1,357","1,333","648","324","49","2","9,274","9,274","444","808","997","1,068","1,358","1,733","1,500","767","471","120","8"
"서울특별시 종로구 무악동(1111057000)","3,652","3,652","233","393","391","379","604","718","515","264","139","16","0","4,312","4,312","288","545","428","437","691","721","592","338","238","30","4"
"서울특별시 종로구 교남동(1111058000)","4,447","4,447","360","367","515","641","790","788","539","280","155","12","0","5,252","5,252","370","408","606","769","905","846","658","427","231","32","0"
"서울특별시 종로구 가회동(1111060000)","1,793","1,793","91","155","189","250","284","324","253","156","81","10","0","2,038","2,038","60","144","217","274","316","359","296","205","141","26","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,032","4,032","84","108","476","564","513","727","915","432","195","16","2","2,678","2,678","70","110","503","409","321","353","425","273","182","31","1"
"서울특별시 종로구 종로5.6가동(1111063000)","2,809","2,809","66","86","528","507","316","484","473","222","117","10","0","2,540","2,540","78","107","631","393","252","355","330","246","123","25","0"
"서울특별시 종로구 이화동(1111064000)","3,272","3,272","83","167","696","601","387","495","453","253","120","17","0","3,715","3,715","81","155","888","626","392","511","491","318","223","30","0"
"서울특별시 종로구 혜화동(1111065000)","7,715","7,715","241","625","2,169","1,071","890","1,132","837","425","289","35","1","8,273","8,273","253","629","2,181","950","962","1,223","891","655","452","72","5"
"서울특별시 종로구 창신제1동(1111067000)","2,391","2,391","53","95","278","334","271","432","570","253","101","4","0","2,128","2,128","50","78","259","261","220","403","436","250","150","21","0"
"서울특별시 종로구 창신제2동(1111068000)","3,838","3,838","78","168","470","525","440","859","773","359","145","21","0","3,604","3,604","73","160","443","369","340","790","727","412","261","29","0"
"서울특별시 종로구 창신제3동(1111069000)","3,106","3,106","148","216","417","455","403","563","554","233","96","21","0","3,203","3,203","132","204","379","447","398","606","541","284","189","23","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,806","2,806","96","166","337","403","420","554","474","251","97","8","0","2,998","2,998","97","158","380","410","380","541","518","289","192","33","0"
"서울특별시 종로구 숭인제2동(1111071000)","4,885","4,885","96","134","976","980","572","824","759","388","142","14","0","5,154","5,154","91","153","1,540","961","470","703","648","359","206","23","0"
"서울특별시 중구 (1114000000)","58,737","58,737","2,796","3,081","7,896","10,572","8,497","9,537","9,166","4,799","2,147","235","11","62,870","62,870","2,683","3,079","9,518","10,660","8,194","9,511","9,253","5,767","3,522","665","18"
"서울특별시 중구 소공동(1114052000)","1,034","1,034","79","52","78","216","245","165","122","52","22","3","0","1,155","1,155","67","90","142","230","271","158","103","59","28","7","0"
"서울특별시 중구 회현동(1114054000)","2,295","2,295","80","97","214","249","283","419","552","264","123","14","0","2,054","2,054","76","93","204","273","237","362","386","252","134","35","2"
"서울특별시 중구 명동(1114055000)","1,088","1,088","34","50","141","183","140","206","188","105","36","4","1","1,519","1,519","23","71","193","167","209","248","292","175","114","27","0"
"서울특별시 중구 필동(1114057000)","2,195","2,195","69","103","379","446","289","333","312","168","84","12","0","2,072","2,072","65","104","410","400","237","243","297","165","115","34","2"
"서울특별시 중구 장충동(1114058000)","2,380","2,380","72","140","681","393","262","303","269","162","86","11","1","2,187","2,187","60","157","554","276","246","276","261","199","137","21","0"
"서울특별시 중구 광희동(1114059000)","2,853","2,853","63","92","481","655","356","400","468","242","88","7","1","2,955","2,955","61","95","744","600","314","343","378","263","140","17","0"
"서울특별시 중구 을지로동(1114060500)","1,695","1,695","59","32","171","523","247","227","263","120","47","6","0","1,413","1,413","73","42","237","429","207","145","132","92","51","5","0"
"서울특별시 중구 신당동(1114061500)","3,614","3,614","95","112","539","651","516","656","588","318","130","9","0","3,808","3,808","126","134","742","671","442","547","554","342","208","41","1"
"서울특별시 중구 다산동(1114062500)","6,399","6,399","224","364","972","1,122","859","1,062","965","556","258","17","0","6,814","6,814","202","315","1,052","1,053","847","1,078","1,122","655","409","80","1"
"서울특별시 중구 약수동(1114063500)","7,426","7,426","389","446","847","1,110","1,039","1,229","1,238","728","359","39","2","8,674","8,674","406","420","930","1,199","1,111","1,439","1,462","966","621","117","3"
"서울특별시 중구 청구동(1114064500)","6,090","6,090","314","370","754","1,052","808","1,003","997","520","245","25","2","6,828","6,828","307","350","824","1,096","813","1,130","1,088","684","451","82","3"
"서울특별시 중구 신당제5동(1114065000)","4,922","4,922","221","240","644","911","734","907","730","357","155","22","1","5,249","5,249","220","272","811","918","682","833","742","475","258","38","0"
"서울특별시 중구 동화동(1114066500)","4,777","4,777","303","364","536","631","665","872","822","389","165","29","1","5,168","5,168","255","368","575","664","704","954","836","438","317","57","0"
"서울특별시 중구 황학동(1114067000)","6,006","6,006","320","230","885","1,459","930","816","794","408","147","17","0","6,743","6,743","279","238","1,321","1,521","906","857","819","498","250","52","2"
"서울특별시 중구 중림동(1114068000)","5,963","5,963","474","389","574","971","1,124","939","858","410","202","20","2","6,231","6,231","463","330","779","1,163","968","898","781","504","289","52","4"
"서울특별시 용산구 (1117000000)","99,566","99,566","5,426","6,778","13,181","18,125","15,043","16,350","14,035","6,823","3,362","425","18","108,403","108,403","5,244","6,578","15,840","18,515","15,393","17,112","14,696","8,559","5,411","1,013","42"
"서울특별시 용산구 후암동(1117051000)","7,657","7,657","344","585","1,025","1,434","1,108","1,273","1,071","565","229","21","2","8,268","8,268","332","504","1,128","1,328","1,165","1,317","1,248","703","451","86","6"
"서울특별시 용산구 용산2가동(1117052000)","4,339","4,339","128","231","675","854","650","598","606","379","199","18","1","4,515","4,515","116","204","620","780","567","654","720","487","305","61","1"
"서울특별시 용산구 남영동(1117053000)","4,179","4,179","69","125","347","550","503","1,004","1,041","380","144","14","2","2,641","2,641","59","99","420","457","325","454","430","230","144","20","3"
"서울특별시 용산구 청파동(1117055500)","8,693","8,693","243","451","1,493","1,781","1,151","1,491","1,186","579","296","19","3","10,132","10,132","250","516","2,520","1,588","1,095","1,485","1,303","828","477","68","2"
"서울특별시 용산구 원효로제1동(1117056000)","7,885","7,885","548","495","1,089","1,952","1,280","1,097","869","391","148","16","0","9,146","9,146","531","446","1,774","2,241","1,389","1,089","935","466","235","40","0"
"서울특별시 용산구 원효로제2동(1117057000)","6,376","6,376","354","417","816","1,126","986","1,095","891","469","195","27","0","7,209","7,209","361","547","1,060","1,212","947","1,149","971","549","348","62","3"
"서울특별시 용산구 효창동(1117058000)","4,991","4,991","348","355","694","949","779","804","621","270","153","18","0","5,633","5,633","352","320","874","1,029","813","931","642","381","239","51","1"
"서울특별시 용산구 용문동(1117059000)","5,373","5,373","281","338","742","954","781","905","738","426","195","11","2","5,935","5,935","312","314","834","951","778","961","864","562","310","48","1"
"서울특별시 용산구 한강로동(1117062500)","9,901","9,901","623","485","1,348","2,263","1,391","1,488","1,355","620","296","31","1","11,035","11,035","582","467","1,811","2,596","1,452","1,677","1,330","644","395","76","5"
"서울특별시 용산구 이촌제1동(1117063000)","11,717","11,717","1,099","1,355","1,249","1,277","1,912","2,042","1,543","709","440","88","3","13,239","13,239","1,024","1,284","1,275","1,635","2,270","2,331","1,588","932","733","159","8"
"서울특별시 용산구 이촌제2동(1117064000)","3,675","3,675","194","222","420","643","543","612","559","320","137","24","1","4,153","4,153","215","210","410","641","562","678","721","415","244","55","2"
"서울특별시 용산구 이태원제1동(1117065000)","3,055","3,055","101","109","459","674","418","428","504","215","123","24","0","3,054","3,054","100","124","382","493","386","487","508","337","192","44","1"
"서울특별시 용산구 이태원제2동(1117066000)","4,105","4,105","178","195","604","870","646","570","530","298","181","33","0","4,603","4,603","155","233","586","807","673","675","657","446","321","47","3"
"서울특별시 용산구 한남동(1117068500)","7,352","7,352","478","492","848","1,311","1,252","1,166","1,004","524","253","24","0","8,082","8,082","462","451","881","1,470","1,317","1,301","1,105","665","352","77","1"
"서울특별시 용산구 서빙고동(1117069000)","6,027","6,027","328","681","778","737","1,054","1,010","842","345","210","39","3","6,508","6,508","317","699","769","733","1,106","1,137","835","432","404","74","2"
"서울특별시 용산구 보광동(1117070000)","4,241","4,241","110","242","594","750","589","767","675","333","163","18","0","4,250","4,250","76","160","496","554","548","786","839","482","261","45","3"
"서울특별시 성동구 (1120000000)","134,161","134,161","8,534","8,889","19,580","22,433","20,310","21,824","18,966","9,221","4,027","364","13","142,686","142,686","7,966","9,031","20,928","23,412","20,220","22,542","19,751","11,393","6,462","954","27"
"서울특별시 성동구 왕십리제2동(1120052000)","7,748","7,748","517","527","1,027","1,384","1,173","1,278","1,099","500","219","24","0","8,361","8,361","499","514","1,182","1,440","1,164","1,336","1,165","671","332","57","1"
"서울특별시 성동구 왕십리도선동(1120053500)","12,300","12,300","1,038","834","1,711","2,013","1,913","2,034","1,630","737","367","23","0","13,937","13,937","935","815","2,256","2,404","1,965","2,314","1,661","950","542","94","1"
"서울특별시 성동구 마장동(1120054000)","10,557","10,557","472","714","2,020","1,628","1,325","1,644","1,570","818","325","41","0","10,958","10,958","464","729","2,029","1,534","1,255","1,738","1,626","925","578","79","1"
"서울특별시 성동구 사근동(1120055000)","6,342","6,342","172","377","2,714","948","541","634","498","278","171","9","0","5,785","5,785","145","475","2,179","684","492","660","498","393","239","20","0"
"서울특별시 성동구 행당제1동(1120056000)","6,551","6,551","434","459","988","1,105","1,001","1,041","867","439","198","15","4","7,172","7,172","394","526","1,187","1,132","1,043","1,136","894","503","303","48","6"
"서울특별시 성동구 행당제2동(1120057000)","10,611","10,611","773","837","1,172","1,637","1,668","1,935","1,443","772","340","33","1","12,145","12,145","760","1,020","1,378","1,791","1,832","2,053","1,630","1,032","566","79","4"
"서울특별시 성동구 응봉동(1120058000)","7,028","7,028","487","752","760","979","1,202","1,232","870","474","251","21","0","7,800","7,800","444","699","884","1,059","1,354","1,297","986","637","392","47","1"
"서울특별시 성동구 금호1가동(1120059000)","6,991","6,991","554","524","723","1,060","1,280","1,104","993","533","202","18","0","7,705","7,705","495","509","763","1,229","1,199","1,224","1,176","674","371","64","1"
"서울특별시 성동구 금호2.3가동(1120061500)","10,396","10,396","786","638","1,196","1,824","1,743","1,679","1,443","738","312","35","2","11,507","11,507","747","615","1,228","1,964","1,786","1,858","1,650","994","576","83","6"
"서울특별시 성동구 금호4가동(1120062000)","6,639","6,639","623","458","646","1,056","1,255","1,040","876","476","192","15","2","7,440","7,440","538","461","645","1,258","1,312","1,088","1,089","640","359","48","2"
"서울특별시 성동구 옥수동(1120064500)","11,764","11,764","1,116","805","1,100","2,051","2,169","1,785","1,554","797","348","37","2","13,661","13,661","1,141","800","1,285","2,523","2,274","2,023","1,910","1,009","590","106","0"
"서울특별시 성동구 성수1가제1동(1120065000)","7,634","7,634","408","455","1,098","1,437","1,001","1,324","1,268","457","171","15","0","7,710","7,710","363","437","1,069","1,423","1,006","1,415","1,176","502","276","43","0"
"서울특별시 성동구 성수1가제2동(1120066000)","5,795","5,795","291","383","828","1,133","846","922","799","408","174","11","0","6,085","6,085","286","358","892","1,186","876","905","834","464","245","39","0"
"서울특별시 성동구 성수2가제1동(1120067000)","7,532","7,532","290","356","940","1,293","1,012","1,329","1,478","591","225","18","0","6,993","6,993","271","358","904","1,105","859","1,190","1,270","665","322","49","0"
"서울특별시 성동구 성수2가제3동(1120069000)","4,995","4,995","236","257","754","902","686","804","779","391","167","18","1","4,991","4,991","199","242","835","964","628","763","684","396","252","27","1"
"서울특별시 성동구 송정동(1120072000)","5,062","5,062","198","251","704","861","719","918","896","367","136","12","0","4,583","4,583","155","225","712","699","572","779","778","426","205","30","2"
"서울특별시 성동구 용답동(1120079000)","6,216","6,216","139","262","1,199","1,122","776","1,121","903","445","229","19","1","5,853","5,853","130","248","1,500","1,017","603","763","724","512","314","41","1"
"서울특별시 광진구 (1121500000)","160,670","160,670","7,513","11,909","27,111","27,328","23,259","25,748","21,921","10,915","4,537","415","14","174,120","174,120","7,249","11,698","31,373","27,543","24,286","27,282","23,965","12,993","6,636","1,059","36"
"서울특별시 광진구 화양동(1121571000)","10,985","10,985","156","307","4,359","2,487","1,077","1,071","810","475","227","16","0","12,316","12,316","152","402","5,945","2,279","938","868","834","565","289","42","2"
"서울특별시 광진구 군자동(1121573000)","9,333","9,333","328","501","1,989","1,767","1,231","1,319","1,244","661","279","14","0","9,676","9,676","311","452","2,186","1,661","1,229","1,287","1,329","748","416","54","3"
"서울특별시 광진구 중곡제1동(1121574000)","7,189","7,189","268","354","1,116","1,509","1,031","1,108","1,031","542","214","15","1","8,012","8,012","256","302","1,653","1,576","909","1,199","1,137","614","314","51","1"
"서울특별시 광진구 중곡제2동(1121575000)","9,589","9,589","405","619","1,481","1,736","1,375","1,519","1,443","708","286","16","1","10,773","10,773","382","604","1,792","1,857","1,416","1,785","1,612","912","354","58","1"
"서울특별시 광진구 중곡제3동(1121576000)","7,646","7,646","299","395","1,094","1,421","1,051","1,285","1,235","604","243","19","0","7,893","7,893","266","394","1,203","1,279","946","1,358","1,293","751","366","37","0"
"서울특별시 광진구 중곡제4동(1121577000)","13,406","13,406","515","860","1,944","2,111","1,769","2,357","2,246","1,146","430","27","1","14,116","14,116","481","779","1,911","1,958","1,750","2,701","2,478","1,343","619","93","3"
"서울특별시 광진구 능동(1121578000)","5,067","5,067","211","244","951","1,109","768","699","587","329","159","9","1","6,002","6,002","210","252","1,240","1,362","831","755","709","413","200","29","1"
"서울특별시 광진구 광장동(1121581000)","16,363","16,363","1,238","2,710","1,899","1,507","3,016","3,060","1,737","785","352","56","3","17,496","17,496","1,161","2,583","1,880","1,857","3,729","3,015","1,784","804","565","114","4"
"서울특별시 광진구 자양제1동(1121582000)","10,645","10,645","358","710","1,911","1,995","1,544","1,662","1,457","678","310","20","0","11,227","11,227","340","651","2,024","1,808","1,565","1,732","1,615","940","478","73","1"
"서울특별시 광진구 자양제2동(1121583000)","11,446","11,446","587","842","1,593","1,898","1,693","1,841","1,758","877","321","35","1","12,181","12,181","593","800","1,592","1,852","1,786","2,074","1,967","987","451","75","4"
"서울특별시 광진구 자양제3동(1121584000)","12,955","12,955","957","1,163","1,712","1,822","1,941","2,186","1,840","875","394","62","3","14,160","14,160","894","1,236","1,743","2,007","2,203","2,372","2,034","979","565","124","3"
"서울특별시 광진구 자양제4동(1121584700)","9,744","9,744","366","429","1,509","1,787","1,307","1,627","1,586","795","310","27","1","10,044","10,044","373","452","1,697","1,621","1,218","1,533","1,613","973","492","70","2"
"서울특별시 광진구 구의제1동(1121585000)","11,021","11,021","407","580","2,153","2,269","1,617","1,683","1,363","636","282","31","0","12,116","12,116","429","586","2,640","2,255","1,566","1,803","1,512","835","427","59","4"
"서울특별시 광진구 구의제2동(1121586000)","12,183","12,183","640","1,088","1,568","1,754","1,913","2,135","1,781","916","363","25","0","13,400","13,400","625","1,049","1,668","1,851","2,048","2,341","2,038","1,125","569","80","6"
"서울특별시 광진구 구의제3동(1121587000)","13,098","13,098","778","1,107","1,832","2,156","1,926","2,196","1,803","888","367","43","2","14,708","14,708","776","1,156","2,199","2,320","2,152","2,459","2,010","1,004","531","100","1"
"서울특별시 동대문구 (1123000000)","167,523","167,523","9,082","11,625","27,013","25,430","24,823","26,656","23,759","12,897","5,738","488","12","174,458","174,458","8,803","11,487","29,928","24,151","23,398","26,105","24,957","15,726","8,607","1,253","43"
"서울특별시 동대문구 용신동(1123053600)","19,050","19,050","960","987","3,171","3,511","2,912","2,983","2,620","1,249","603","53","1","19,559","19,559","951","933","3,906","3,520","2,588","2,726","2,452","1,473","890","115","5"
"서울특별시 동대문구 제기동(1123054500)","11,759","11,759","381","625","2,292","1,657","1,406","1,864","1,831","1,110","553","39","1","11,202","11,202","367","574","2,072","1,293","1,149","1,627","1,892","1,336","779","108","5"
"서울특별시 동대문구 전농제1동(1123056000)","16,387","16,387","979","1,110","2,444","2,392","2,498","2,819","2,430","1,152","518","45","0","16,554","16,554","993","1,066","2,586","2,280","2,298","2,623","2,351","1,422","801","129","5"
"서울특별시 동대문구 전농제2동(1123057000)","8,479","8,479","486","747","946","1,066","1,301","1,516","1,285","732","367","32","1","9,353","9,353","471","778","1,033","1,022","1,311","1,633","1,586","930","532","56","1"
"서울특별시 동대문구 답십리제1동(1123060000)","13,287","13,287","1,137","941","1,655","2,239","2,371","2,008","1,740","826","340","29","1","14,506","14,506","1,094","962","2,144","2,563","2,280","2,032","1,777","1,005","557","85","7"
"서울특별시 동대문구 답십리제2동(1123061000)","13,175","13,175","761","816","1,534","2,174","1,886","2,225","2,083","1,141","512","43","0","14,219","14,219","801","876","1,596","2,078","1,839","2,348","2,349","1,424","795","113","0"
"서울특별시 동대문구 장안제1동(1123065000)","18,469","18,469","1,092","1,249","2,216","3,074","3,138","2,927","2,705","1,493","541","33","1","18,972","18,972","973","1,255","2,599","2,886","2,934","2,872","2,928","1,687","709","122","7"
"서울특별시 동대문구 장안제2동(1123066000)","16,136","16,136","1,242","1,536","1,826","2,369","2,878","2,547","2,140","1,169","405","24","0","16,511","16,511","1,197","1,300","1,891","2,353","2,841","2,501","2,373","1,347","605","101","2"
"서울특별시 동대문구 청량리동(1123070500)","9,202","9,202","294","487","1,091","1,166","1,124","1,529","1,889","1,088","478","53","3","9,512","9,512","301","446","1,120","1,002","1,003","1,495","1,911","1,311","771","150","2"
"서울특별시 동대문구 회기동(1123071000)","4,934","4,934","155","375","1,569","797","557","620","434","258","153","14","2","5,472","5,472","145","404","1,881","686","592","580","522","365","258","38","1"
"서울특별시 동대문구 휘경제1동(1123072000)","6,466","6,466","322","381","1,542","1,086","823","909","756","413","211","23","0","7,323","7,323","320","460","2,179","980","786","993","729","532","299","42","3"
"서울특별시 동대문구 휘경제2동(1123073000)","12,138","12,138","492","941","3,084","1,624","1,547","1,791","1,413","854","356","35","1","12,201","12,201","430","1,034","2,786","1,432","1,533","1,780","1,573","1,032","528","72","1"
"서울특별시 동대문구 이문제1동(1123074000)","8,787","8,787","273","618","2,463","1,157","992","1,275","1,042","586","346","34","1","9,068","9,068","286","641","2,699","895","930","1,191","1,055","788","521","60","2"
"서울특별시 동대문구 이문제2동(1123075000)","9,254","9,254","508","812","1,180","1,118","1,390","1,643","1,391","826","355","31","0","10,006","10,006","474","758","1,436","1,161","1,314","1,704","1,459","1,074","562","62","2"
"서울특별시 중랑구 (1126000000)","186,915","186,915","9,478","12,164","23,518","29,472","27,515","31,844","30,854","15,419","6,171","471","9","194,753","194,753","9,083","11,617","25,825","28,430","25,216","32,675","32,978","18,320","9,111","1,452","46"
"서울특별시 중랑구 면목제2동(1126052000)","11,629","11,629","463","679","1,374","1,758","1,704","2,222","2,024","961","408","36","0","11,834","11,834","427","661","1,471","1,628","1,464","2,179","2,137","1,189","586","89","3"
"서울특별시 중랑구 면목제4동(1126054000)","8,982","8,982","428","577","1,102","1,264","1,390","1,642","1,444","787","320","27","1","9,069","9,069","388","511","1,056","1,189","1,215","1,564","1,522","1,093","473","57","1"
"서울특별시 중랑구 면목제5동(1126055000)","7,205","7,205","630","441","761","1,196","1,267","1,158","1,067","500","177","8","0","7,268","7,268","626","423","714","1,184","1,116","1,200","1,105","568","290","41","1"
"서울특별시 중랑구 면목본동(1126056500)","16,086","16,086","623","785","2,236","2,794","2,320","2,909","2,589","1,266","536","27","1","16,588","16,588","557","775","2,477","2,544","2,010","2,971","2,724","1,644","767","118","1"
"서울특별시 중랑구 면목제7동(1126057000)","10,516","10,516","557","550","1,277","1,657","1,532","1,803","1,798","942","367","33","0","10,640","10,640","457","502","1,376","1,626","1,300","1,746","1,944","1,103","502","82","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","11,907","11,907","440","619","1,594","1,879","1,681","2,116","2,049","1,093","413","23","0","12,336","12,336","445","613","1,626","1,679","1,448","2,186","2,354","1,272","615","96","2"
"서울특별시 중랑구 상봉제1동(1126058000)","11,153","11,153","710","906","1,393","1,666","1,648","1,853","1,858","771","335","13","0","11,833","11,833","701","795","1,452","1,714","1,565","2,078","1,976","976","493","81","2"
"서울특별시 중랑구 상봉제2동(1126059000)","9,701","9,701","349","349","1,661","2,311","1,272","1,472","1,363","651","254","18","1","10,797","10,797","348","338","2,593","2,470","1,131","1,405","1,362","749","347","52","2"
"서울특별시 중랑구 중화제1동(1126060000)","9,205","9,205","443","581","1,145","1,527","1,372","1,439","1,532","832","311","22","1","9,368","9,368","423","563","1,165","1,365","1,182","1,545","1,719","934","420","51","1"
"서울특별시 중랑구 중화제2동(1126061000)","12,106","12,106","429","544","1,546","1,896","1,637","2,233","2,322","992","473","34","0","11,566","11,566","380","438","1,661","1,651","1,367","2,003","2,127","1,191","654","94","0"
"서울특별시 중랑구 묵제1동(1126062000)","15,936","15,936","836","1,473","2,101","2,227","2,474","2,659","2,276","1,302","546","42","0","17,578","17,578","847","1,404","2,507","2,325","2,594","2,850","2,668","1,537","735","107","4"
"서울특별시 중랑구 묵제2동(1126063000)","8,822","8,822","386","535","1,160","1,363","1,308","1,525","1,415","776","327","26","1","9,217","9,217","377","483","1,237","1,296","1,219","1,583","1,600","927","443","50","2"
"서울특별시 중랑구 망우본동(1126065500)","18,598","18,598","1,360","1,061","2,079","3,293","2,815","2,911","3,070","1,441","524","43","1","19,135","19,135","1,312","1,137","2,403","3,183","2,522","2,858","3,110","1,576","866","160","8"
"서울특별시 중랑구 망우제3동(1126066000)","7,846","7,846","272","396","948","1,061","1,030","1,503","1,574","734","298","29","1","7,761","7,761","270","448","967","898","920","1,495","1,457","810","402","94","0"
"서울특별시 중랑구 신내1동(1126068000)","18,012","18,012","1,079","1,958","2,117","2,226","2,698","2,875","2,931","1,507","573","48","0","19,442","19,442","1,049","1,827","2,058","2,303","2,816","3,250","3,292","1,722","932","183","10"
"서울특별시 중랑구 신내2동(1126069000)","9,211","9,211","473","710","1,024","1,354","1,367","1,524","1,542","864","309","42","2","10,321","10,321","476","699","1,062","1,375","1,347","1,762","1,881","1,029","586","97","7"
"서울특별시 성북구 (1129000000)","203,536","203,536","11,968","17,758","30,366","27,889","30,676","35,025","27,434","14,733","7,047","622","18","221,127","221,127","11,363","17,384","34,251","27,763","31,735","36,080","30,959","19,092","10,789","1,665","46"
"서울특별시 성북구 성북동(1129052500)","7,416","7,416","318","537","1,137","1,205","1,027","1,288","1,013","531","311","45","4","8,484","8,484","282","513","1,375","1,288","1,156","1,452","1,130","713","477","96","2"
"서울특별시 성북구 삼선동(1129055500)","10,494","10,494","393","835","1,896","1,514","1,439","1,895","1,380","711","388","41","2","11,605","11,605","385","817","2,272","1,546","1,476","1,889","1,493","995","649","79","4"
"서울특별시 성북구 동선동(1129057500)","6,155","6,155","184","346","1,376","1,173","839","926","672","403","217","19","0","8,926","8,926","204","583","3,340","1,233","869","986","777","527","351","53","3"
"서울특별시 성북구 돈암제1동(1129058000)","6,616","6,616","344","494","835","917","881","1,216","1,089","568","252","20","0","7,542","7,542","308","546","991","939","906","1,376","1,261","727","426","60","2"
"서울특별시 성북구 돈암제2동(1129059000)","11,063","11,063","814","1,296","1,328","1,284","1,765","2,103","1,423","692","317","40","1","12,377","12,377","776","1,297","1,355","1,447","2,096","2,275","1,629","877","513","110","2"
"서울특별시 성북구 안암동(1129060000)","7,652","7,652","180","450","2,918","1,146","690","947","710","387","200","24","0","7,467","7,467","173","404","2,717","877","679","941","769","517","331","57","2"
"서울특별시 성북구 보문동(1129061000)","7,735","7,735","486","467","1,206","1,385","1,187","1,298","979","484","221","22","0","8,432","8,432","459","526","1,428","1,387","1,100","1,390","1,093","656","343","48","2"
"서울특별시 성북구 정릉제1동(1129062000)","8,506","8,506","621","823","1,072","1,150","1,391","1,430","1,080","614","289","36","0","9,244","9,244","566","798","1,142","1,163","1,470","1,489","1,254","821","484","57","0"
"서울특별시 성북구 정릉제2동(1129063000)","10,801","10,801","612","828","1,470","1,490","1,571","1,846","1,621","912","410","40","1","11,642","11,642","588","760","1,507","1,500","1,529","2,000","1,894","1,111","662","91","0"
"서울특별시 성북구 정릉제3동(1129064000)","7,482","7,482","224","530","1,903","1,009","779","1,092","986","633","306","20","0","7,595","7,595","202","463","1,547","777","745","1,179","1,264","798","529","89","2"
"서울특별시 성북구 정릉제4동(1129065000)","11,495","11,495","603","1,023","1,541","1,413","1,709","2,085","1,672","968","447","34","0","12,563","12,563","573","938","1,566","1,434","1,799","2,181","2,010","1,265","682","111","4"
"서울특별시 성북구 길음제1동(1129066000)","16,370","16,370","1,431","2,429","1,660","1,629","3,240","3,095","1,557","862","439","28","0","18,271","18,271","1,388","2,524","1,785","1,994","3,826","2,819","1,946","1,233","655","98","3"
"서울특별시 성북구 길음제2동(1129068500)","10,233","10,233","1,014","1,061","1,172","1,264","1,816","1,818","1,207","629","228","23","1","11,216","11,216","961","987","1,293","1,501","2,034","1,880","1,366","762","367","64","1"
"서울특별시 성북구 종암동(1129070500)","18,441","18,441","1,020","1,844","2,783","2,361","2,783","3,151","2,514","1,247","657","75","6","18,975","18,975","985","1,546","2,570","2,138","2,894","3,201","2,674","1,720","1,051","192","4"
"서울특별시 성북구 월곡제1동(1129071500)","12,239","12,239","798","1,179","1,306","1,569","2,005","2,156","1,767","953","475","31","0","13,192","13,192","792","1,210","1,453","1,611","2,047","2,170","1,931","1,282","614","77","5"
"서울특별시 성북구 월곡제2동(1129072500)","8,955","8,955","404","703","1,355","1,353","1,220","1,491","1,297","745","363","24","0","9,910","9,910","344","653","2,114","1,212","1,219","1,458","1,436","877","505","91","1"
"서울특별시 성북구 장위제1동(1129076000)","11,276","11,276","691","861","1,451","1,628","1,786","1,935","1,755","801","346","22","0","11,981","11,981","731","857","1,507","1,495","1,690","2,156","1,906","1,021","542","74","2"
"서울특별시 성북구 장위제2동(1129077000)","6,377","6,377","251","379","844","924","864","1,140","1,023","649","282","21","0","6,661","6,661","200","370","892","857","749","1,114","1,195","817","404","61","2"
"서울특별시 성북구 장위제3동(1129078000)","7,601","7,601","740","632","939","1,074","1,330","1,265","964","448","198","11","0","7,897","7,897","699","644","987","1,137","1,286","1,304","1,032","525","242","40","1"
